Simulation Total Time;0
Total Number of Sensed Events by the WSN;0
Number of Sensed Events by the WSN per Day
1;0
Simulation Total Time;0
Total Number of Sensed Events by the WSN;0
Number of Sensed Events by the WSN per Day
1;0
